iter,tr_loss,tr_acc,val_loss,val_acc
1,1.6718,0.4373,1.4028,0.4889
5,0.8702,0.6908,0.7972,0.7202
10,0.3969,0.8852,0.3763,0.8915
15,0.1831,0.9540,0.1819,0.9512
20,0.0920,0.9805,0.0916,0.9803
25,0.0472,0.9923,0.0527,0.9889
30,0.0293,0.9954,0.0373,0.9911
35,0.0355,0.9915,0.0266,0.9943
40,0.0220,0.9955,0.0188,0.9959
45,0.0078,0.9993,0.0138,0.9969
50,0.0057,0.9996,0.0122,0.9972
test_loss,test_acc
0.0133,0.9964
